Time,FirstHarmonic
0.000000000000000000e+00,1.989465207297300420e-01
4.081632653061224580e-01,1.784410474793488022e-01
8.163265306122449161e-01,1.237483731441660073e-01
1.224489795918367374e+00,4.999854057588973277e-02
1.632653061224489832e+00,2.285000115842657914e-02
2.040816326530612290e+00,7.614356889232812287e-02
2.448979591836734748e+00,9.821818357706414704e-02
2.857142857142857206e+00,8.729161624178091716e-02
3.265306122448979664e+00,5.112822707657645877e-02
3.673469387755102122e+00,4.080297520384969581e-03
4.081632653061224580e+00,3.808134009209166587e-02
4.489795918367347483e+00,6.315941421853962789e-02
4.897959183673469497e+00,6.597548439048744884e-02
5.306122448979591510e+00,4.878372912924510557e-02
5.714285714285714413e+00,1.989517617923136292e-02
6.122448979591837315e+00,1.011186669421299845e-02
6.530612244897959329e+00,3.182866362755271822e-02
6.938775510204081343e+00,4.001100335183725709e-02
7.346938775510204245e+00,3.444118974026148805e-02
7.755102040816327147e+00,1.921321612396526685e-02
8.163265306122449161e+00,2.533536093345427169e-03
8.571428571428571175e+00,1.569039398843882077e-02
8.979591836734694965e+00,2.455370704479215016e-02
9.387755102040816979e+00,2.532668906595880731e-02
9.795918367346938993e+00,1.932045261622101356e-02
1.020408163265306101e+01,9.549263615681367542e-03
1.061224489795918302e+01,1.399008113951716531e-03
1.102040816326530681e+01,8.880954863200648045e-03
1.142857142857142883e+01,1.315474569521234496e-02
1.183673469387755084e+01,1.343521544267746795e-02
1.224489795918367463e+01,1.038450654735357387e-02
1.265306122448979664e+01,5.243475720064292092e-03
1.306122448979591866e+01,7.798307839997251859e-04
1.346938775510204067e+01,5.780645649236749485e-03
1.387755102040816269e+01,9.358928454404984859e-03
1.428571428571428648e+01,1.074301237055824351e-02
1.469387755102040849e+01,9.785250534253551666e-03
1.510204081632653050e+01,6.762128310290750621e-03
1.551020408163265429e+01,2.597382050073533503e-03
1.591836734693877631e+01,2.612950031753542672e-03
1.632653061224489832e+01,6.293939021067632145e-03
1.673469387755102034e+01,8.317219131532315249e-03
1.714285714285714235e+01,8.103821402207441599e-03
1.755102040816326436e+01,5.813122273927462738e-03
1.795918367346938993e+01,2.137738563568102480e-03
1.836734693877551194e+01,2.569992624295340360e-03
1.877551020408163396e+01,5.880807177618559665e-03
1.918367346938775597e+01,7.551496948414638047e-03
1.959183673469387799e+01,6.906359707143730660e-03
2.000000000000000000e+01,4.116683138851958898e-03
